person1	 person1  average 	person2	 person  2  average 	 shared  movies 	 number  of  shared  movies 	 collaboration  average 
 Michael  De  Luca 	1.793103448275862	 Ryan  Kavanaugh 	1.9761904761904763	 ['Brothers',  '21'] 	2	3.0
 Michael  De  Luca 	1.793103448275862	 Brett  Ratner 	2.176470588235294	['21']	1	3.0
 Michael  De  Luca 	1.793103448275862	 Kevin  Spacey 	1.0	 ['  The    Social    Network  ',  '  Captain    Phillips  ',  '21'] 	3	1.6666666666666667
 Michael  De  Luca 	1.793103448275862	 Bob  Weinstein 	2.3478260869565206	['Butter']	1	3.0
 Michael  De  Luca 	1.793103448275862	 Harvey  Weinstein 	2.347368421052631	['Butter']	1	3.0
 Michael  De  Luca 	1.793103448275862	 Richard  Saperstein 	1.8333333333333333	 ['  Lost    in    Space  ',  '  The    Long    Kiss    Goodnight  '] 	2	2.0
 Michael  De  Luca 	1.793103448275862	 Brad  Pitt 	2.0	['Moneyball']	1	1.0
 Michael  De  Luca 	1.793103448275862	 Toby  Emmerich 	2.2222222222222223	 ['  Blade    II  '] 	1	1.0
 Michael  De  Luca 	1.793103448275862	 Ken  Halsband 	1.8571428571428572	['Brothers']	1	3.0
 Michael  De  Luca 	1.793103448275862	 Tucker  Tooley 	1.9545454545454546	['Brothers']	1	3.0
 Michael  De  Luca 	1.793103448275862	 Jonah  Hill 	2.2	 ['  The    Sitter  '] 	1	3.0
 Michael  De  Luca 	1.793103448275862	 David  Benioff 	1.8	['Brothers']	1	3.0
 Michael  De  Luca 	1.793103448275862	 Jon  Kilik 	2.214285714285714	['Pleasantville']	1	3.0
 Michael  De  Luca 	1.793103448275862	 Gary  Barber 	1.8437500000000002	 ['  The    Love    Guru  '] 	1	1.0
 Michael  De  Luca 	1.793103448275862	 Roger  Birnbaum 	2.0	 ['  The    Love    Guru  '] 	1	1.0
 Michael  De  Luca 	1.793103448275862	 Eric  McLeod 	1.6923076923076923	 ['  Austin    Powers:    The    Spy    Who    Shagged    Me  '] 	1	1.0
 Michael  De  Luca 	1.793103448275862	 Erwin  Stoff 	1.9375000000000004	 ['  Austin    Powers:    The    Spy    Who    Shagged    Me  '] 	1	1.0
 Michael  De  Luca 	1.793103448275862	 Jack  Giarraputo 	2.1052631578947367	 ['  Little    Nicky  '] 	1	1.0
 Michael  De  Luca 	1.793103448275862	 Daniel  Lupi 	1.4666666666666666	 ['Magnolia',  'S1m0ne',  '  Boogie    Nights  '] 	3	2.3333333333333335
 Michael  De  Luca 	1.793103448275862	 Jay  Roach 	1.6	 ['  Austin    Powers:    The    Spy    Who    Shagged    Me  '] 	1	1.0
 Michael  De  Luca 	1.793103448275862	 Gregory  Goodman 	2.0	 ['  Captain    Phillips  '] 	1	1.0
 Michael  De  Luca 	1.793103448275862	 Akiva  Goldsman 	2.1481481481481484	 ['  Lost    in    Space  '] 	1	3.0
 Michael  De  Luca 	1.793103448275862	 Christine  Vachon 	2.7058823529411766	 ['  Hedwig    and    the    Angry    Inch  '] 	1	3.0
 Michael  De  Luca 	1.793103448275862	 Pamela  Koffler 	2.5	 ['  Hedwig    and    the    Angry    Inch  '] 	1	3.0
 Michael  De  Luca 	1.793103448275862	 Katie  Roumel 	3.0	 ['  Hedwig    and    the    Angry    Inch  '] 	1	3.0
 Michael  De  Luca 	1.793103448275862	 Mark  Fischer 	3.0	['Brothers']	1	3.0
 Michael  De  Luca 	1.793103448275862	 Scott  Fischer 	2.0	['Brothers']	1	3.0
 Michael  De  Luca 	1.793103448275862	 Steven  Soderbergh 	1.9285714285714286	['Pleasantville']	1	3.0
 Michael  De  Luca 	1.793103448275862	 Rachael  Horovitz 	1.3333333333333333	['Moneyball']	1	1.0
 Michael  De  Luca 	1.793103448275862	 Jennifer  Todd 	2.230769230769231	 ['  Austin    Powers:    The    Spy    Who    Shagged    Me  '] 	1	1.0
 Michael  De  Luca 	1.793103448275862	 Suzanne  Todd 	2.2857142857142856	 ['  Austin    Powers:    The    Spy    Who    Shagged    Me  '] 	1	1.0
 Michael  De  Luca 	1.793103448275862	 Anders  Thomas  Jensen 	1.5	['Brothers']	1	3.0
 Michael  De  Luca 	1.793103448275862	 Sidney  Kimmel 	2.1176470588235294	['Moneyball']	1	1.0
 Michael  De  Luca 	1.793103448275862	 E.  Bennett  Walsh 	1.5454545454545454	 ['  Ghost    Rider:    Spirit    of    Vengeance  '] 	1	0.0
 Michael  De  Luca 	1.793103448275862	 Patrick  J.  Palmer 	2.2	 ['  Blade    II  '] 	1	1.0
 Michael  De  Luca 	1.793103448275862	 Marc  Abraham 	2.25	 ['  Thirteen    days  '] 	1	1.0
 Michael  De  Luca 	1.793103448275862	 Armyan  Bernstein 	2.1	 ['  Thirteen    days  '] 	1	1.0
 Michael  De  Luca 	1.793103448275862	 Thomas  A.  Bliss 	2.3333333333333335	 ['  Thirteen    days  '] 	1	1.0
 Michael  De  Luca 	1.793103448275862	 Ted  Field 	2.1875	 ['  Zathura:    A    Space    Adventure  '] 	1	0.0
 Michael  De  Luca 	1.793103448275862	 Eli  Bush 	2.0	 ['  Captain    Phillips  '] 	1	1.0
 Michael  De  Luca 	1.793103448275862	 Ilona  Herzberg 	2.142857142857143	 ['  Thirteen    days  '] 	1	1.0
 Michael  De  Luca 	1.793103448275862	 Scott  Rudin 	2.3333333333333335	 ['  The    Social    Network  ',  '  Captain    Phillips  ',  'Moneyball'] 	3	1.0
 Michael  De  Luca 	1.793103448275862	 Stan  Lee 	1.8666666666666667	 ['Blade',  '  Blade    II  ',  '  Ghost    Rider:    Spirit    of    Vengeance  '] 	3	0.6666666666666666
 Michael  De  Luca 	1.793103448275862	 Avi  Arad 	1.5	 ['Blade',  '  Blade    II  ',  '  Ghost    Rider:    Spirit    of    Vengeance  '] 	3	0.6666666666666666
 Michael  De  Luca 	1.793103448275862	 David  McKenna 	2.0	 ['  American    History    X  ',  'Blow'] 	2	1.5
 Michael  De  Luca 	1.793103448275862	 Tony  Kaye 	2.5	 ['  American    History    X  '] 	1	2.0
 Michael  De  Luca 	1.793103448275862	 Bill  Carraro 	1.875	 ['  American    History    X  '] 	1	2.0
 Michael  De  Luca 	1.793103448275862	 Jon  Hess 	2	 ['  American    History    X  '] 	1	2.0
 Michael  De  Luca 	1.793103448275862	 John  Morrissey 	2	 ['  American    History    X  '] 	1	2.0
 Michael  De  Luca 	1.793103448275862	 Kearie  Peak 	2.0	 ['  American    History    X  '] 	1	2.0
 Michael  De  Luca 	1.793103448275862	 Steve  Tisch 	1.4285714285714286	 ['  The    Long    Kiss    Goodnight  ',  '  American    History    X  '] 	2	1.5
 Michael  De  Luca 	1.793103448275862	 Lawrence  Turman 	2.5	 ['  American    History    X  '] 	1	2.0
 Michael  De  Luca 	1.793103448275862	 Brian  Witten 	1.7777777777777777	 ['  Dark    City  ',  '  American    History    X  ',  '  Little    Nicky  '] 	3	1.3333333333333333
 Michael  De  Luca 	1.793103448275862	 Ray  Angelic 	3.0	 ['  Fright    Night  '] 	1	3.0
 Michael  De  Luca 	1.793103448275862	 David  Koepp 	1.588235294117647	 ['  Zathura:    A    Space    Adventure  '] 	1	0.0
 Michael  De  Luca 	1.793103448275862	 Louis  D'Esposito 	2.142857142857143	 ['  Zathura:    A    Space    Adventure  '] 	1	0.0
 Michael  De  Luca 	1.793103448275862	 Ashok  Amritraj 	1.8181818181818181	 ['  Ghost    Rider:    Spirit    of    Vengeance  '] 	1	0.0
 Michael  De  Luca 	1.793103448275862	 Joshua  Donen 	2.1666666666666665	['Priest']	1	1.0
