person1	 person1  av 	person2	 person2  av 	sharedTitles	numSharedTitles
 Michael  De  Luca 	1.793103448275862	 Bob  Weinstein 	2.347826086956522	['Butter']	1	3.0
 Michael  De  Luca 	1.793103448275862	 Harvey  Weinstein 	2.3473684210526304	['Butter']	1	3.0
 Michael  De  Luca 	1.793103448275862	 Barbara  A.  Hall 	1.3	 ['  I  Am  Sam  '] 	1	3.0
 Michael  De  Luca 	1.793103448275862	 Jon  Kilik 	2.2142857142857144	['Pleasantville']	1	3.0
 Thomas  Tull 	1.84375	 Chris  Brigham 	1.875	['Inception']	1	3.0
 Thomas  Tull 	1.84375	 Steven  Spielberg 	1.76	 ['  Jurassic  World  '] 	1	3.0
 Thomas  Tull 	1.84375	 Christopher  DeFaria 	2.0	 ['  Sucker  Punch  '] 	1	3.0
 Don  Carmody 	2.473684210526316	 Julie  Goldstein 	2.7777777777777777	['Chicago']	1	3.0
 Don  Carmody 	2.473684210526316	 Rob  Marshall 	2.4285714285714284	['Chicago']	1	3.0
 Don  Carmody 	2.473684210526316	 Meryl  Poster 	2.25	['Chicago']	1	3.0
 Don  Carmody 	2.473684210526316	 Bill  Condon 	2.5555555555555554	['Chicago']	1	3.0
 Don  Carmody 	2.473684210526316	 Neil  Meron 	2.5	['Chicago']	1	3.0
 Don  Carmody 	2.473684210526316	 Craig  Zadan 	2.5	['Chicago']	1	3.0
 Don  Carmody 	2.473684210526316	 Bob  Fosse 	3	['Chicago']	1	3.0
 Don  Carmody 	2.473684210526316	 Fred  Ebb 	3	['Chicago']	1	3.0
 Don  Carmody 	2.473684210526316	 Maurine  Dallas  Watkins 	3	['Chicago']	1	3.0
 Don  Carmody 	2.473684210526316	 Jennifer  Berman 	3	['Chicago']	1	3.0
 Don  Carmody 	2.473684210526316	 Sam  Crothers 	3	['Chicago']	1	3.0
 Don  Carmody 	2.473684210526316	 Martin  Richards 	3	['Chicago']	1	3.0
