person1	 person1  av 	person2	 person2  av 	sharedTitles	numSharedTitles
 Tim  Burton 	2.1	 John  August 	2.272727272727273	 ['  Big    Fish  ',  'Frankenweenie',  '  Dark    Shadows  ',  '  Corpse    Bride  ',  '  Charlie    and    the    Chocolate    Factory  '] 	5	2.0
 Scott  Alexander 	2.2	 Larry  Karaszewski 	2.2	 ['  Big    Eyes  ',  '1408',  '  Man    on    the    Moon  ',  'Goosebumps'] 	4	2.0
 Roland  Emmerich 	2.5	 Dean  Devlin 	2.7142857142857144	 ['Godzilla',  '  The    Patriot  ',  '  Independence    Day  '] 	3	3.0
 Karen  McCullah 	2.625	 Kirsten  Smith 	2.6666666666666665	 ['  Ella    Enchanted  ',  '  Legally    Blonde  ',  "  She's    the    Man  ",  '  The    House    Bunny  ',  '  10    Things    I    Hate    About    You  ',  '  The    Ugly    Truth  '] 	6	2.6666666666666665
 Bob  Tzudiker 	2.25	 Noni  White 	2.25	 ['Tarzan',  '  102    Dalmatians  ',  'Anastasia',  '  The    Hunchback    of    Notre    Dame  '] 	4	2.25
 Danny  Boyle 	1.8181818181818181	 John  Hodge 	1.0	 ['Trainspotting',  '  The    Beach  ',  'Trance'] 	3	1.0
 Michael  Brandt 	0.8	 Derek  Haas 	0.8	 ['Wanted',  '  2    Fast    2    Furious  ',  '  3:10    to    Yuma  ',  '  The    Double  '] 	4	0.75
 Jon  Lucas 	1.5714285714285714	 Scott  Moore 	1.5714285714285714	 ['  The    Change-Up  ',  '  The    Hangover  ',  'Flypaper',  '  21    &    Over  ',  '  Four    Christmases  '] 	5	1.8
 Phil  Lord 	2.2222222222222223	 Christopher  Miller 	2.2222222222222223	 ['  The    Lego    Movie  ',  '  22    Jump    St  ',  '  Cloudy    with    a    Chance    of    Meatballs  ',  '  Cloudy    with    a    Chance    of    Meatballs    2  ',  '  21    Jump    Street  '] 	5	2.2
 Rodney  Rothman 	2.25	 Judd  Apatow 	2.4642857142857144	 ['  Get    Him    To    The    Greek  ',  '  Forgetting    Sarah    Marshall  ',  '  The    Five-Year    Engagement  '] 	3	2.3333333333333335
 Rodney  Rothman 	2.25	 Jason  Segel 	2.0	 ['  Forgetting    Sarah    Marshall  ',  '  Get    Him    To    The    Greek  ',  '  The    Five-Year    Engagement  '] 	3	2.3333333333333335
 Rodney  Rothman 	2.25	 Nicholas  Stoller 	1.8571428571428572	 ['  Get    Him    To    The    Greek  ',  '  Forgetting    Sarah    Marshall  ',  '  The    Five-Year    Engagement  '] 	3	2.3333333333333335
 Frank  Cottrell  Boyce 	1.5	 Michael  Winterbottom 	2.3	 ['  Butterfly    Kiss  ',  '  24    Hour    Party    People  ',  '  Tristram    Shandy:    A    Cock    and    Bull    Story  '] 	3	2.0
 Luc  Besson 	1.583333333333334	 Robert  Mark  Kamen 	1.375	 ['  Taken    2  ',  '  Kiss    of    the    Dragon  ',  '  Transporter    2  ',  '  Transporter    3  ',  'Taken',  '  The    Fifth    Element  ',  '  The    Transporter  '] 	7	1.1428571428571428
 Sam  Raimi 	2.5000000000000004	 Stan  Lee 	1.8666666666666667	 ['  Spider-Man    3  ',  'Spider-Man',  '  Spider-Man    2  '] 	3	1.3333333333333333
 Sam  Raimi 	2.5000000000000004	 Steve  Ditko 	1.4	 ['  Spider-Man    3  ',  'Spider-Man',  '  Spider-Man    2  '] 	3	1.3333333333333333
 Sam  Raimi 	2.5000000000000004	 Stephen  Susco 	3.0	 ['  The    Grudge  ',  '  The    Possession  ',  '  The    Grudge    2  '] 	3	3.0
 Evan  Goldberg 	1.6666666666666667	 Seth  Rogen 	1.736842105263158	 ['  Funny    People  ',  '  The    Green    Hornet  ',  '  Pineapple    Express  ',  '  This    Is    the    End  ',  '  The    Interview  ',  'Neighbors',  'Superbad',  '  The    Watch  ',  '  Knocked    Up  ',  '50/50',  '  The    Guilt    Trip  '] 	11	1.9090909090909092
 Evan  Goldberg 	1.6666666666666667	 Judd  Apatow 	2.4642857142857144	 ['  Funny    People  ',  'Superbad',  '  Knocked    Up  ',  '  Pineapple    Express  '] 	4	2.0
