Title	IMDB	Budget	 Dom  Box  Office 	 Intl  Box  Office 	Score	Year	Writers	Directors	Producers	 Female  Character  Percentage 	 Female  Talk  Percentage 	 Female  Writer  Percentage 	 Female  Director  Percentage 	 Female  Producer  Percentage 	 Overall  Female  Production  Percentage 
   Kate    &    Leopold   	35423	-6	-4	111976058	2	2001	"  [['Steven    Rogers',    'm'],    ['James    Mangold',    'm']]  "	"  [['James    Mangold',    'm']]  "	"  [['Christopher    Goode',    'm'],    ['Cathy    Konrad',    'f'],    ['Kerry    Orent',    'NULL'],    ['Meryl    Poster',    'f'],    ['Bob    Weinstein',    'm'],    ['Harvey    Weinstein',    'm']]  "	0.222222222	0.152437919	0	0	0.333333333	0.222222222
 Kate  &amp;  Leopold 	35423	-6	-4	94550832.3	2	2001				-6	-7	-8	-5	-5	-5
 Beyond  the  Valley  of  the  Dolls 	65466	-6	-4	54677041.93	3	1970				-6	-7	-8	-5	-5	-5
 Escape  from  the  Planet  of  the  Apes 	67065	-6	-4	71696260.78	1	1971				-6	-7	-8	-5	-5	-5
 The  French  Connection 	67116	-6	-4	239912925.1	1	1971				-6	-7	-8	-5	-5	-5
Shaft	67741	-6	-4	624807313.4	1	1971				-6	-7	-8	-5	-5	-5
 Straw  Dogs 	67800	-6	-4	65598120.69	1	1971				-6	-7	-8	-5	-5	-5
 Willy  Wonka  &amp;  the  Chocolate  Factory 	67992	-6	-4	23315857.26	2	1971				-6	-7	-8	-5	-5	-5
1776	68156	-6	-4	-12	1	1972				-6	-7	-8	-5	-5	-5
 The  Godfather 	68646	-6	-4	1515475717	1	1972				-6	-7	-8	-5	-5	-5
 High  Plains  Drifter 	68699	-6	-4	83394287.06	1	1973				-6	-7	-8	-5	-5	-5
 Pink  Flamingos 	69089	-6	-4	2335593.211	3	1972				-6	-7	-8	-5	-5	-5
 American  Graffiti 	69704	-6	-4	743643324.5	2	1973				-6	-7	-8	-5	-5	-5
 The  Exorcist 	70047	-6	-4	2139223527	3	1973				-6	-7	-8	-5	-5	-5
Sleeper	70707	-6	-4	97442394.59	1	1973				-6	-7	-8	-5	-5	-5
 The  Sting 	70735	-6	-4	847840114.2	1	1973				-6	-7	-8	-5	-5	-5
 Black  Christmas 	71222	-6	-4	77685410.81	3	1974				-6	-7	-8	-5	-5	-5
 Blazing  Saddles 	71230	-6	-4	571788398.8	1	1974				-6	-7	-8	-5	-5	-5
 The  Conversation 	71360	-6	-4	21148993.13	1	1974				-6	-7	-8	-5	-5	-5
 The  Godfather:  Part  II 	71562	-6	-4	274171340.4	3	1974				-6	-7	-8	-5	-5	-5
 Monty  Python  and  the  Holy  Grail 	71853	-6	-4	22047389.84	2	1975				-6	-7	-8	-5	-5	-5
 The  Texas  Chain  Saw  Massacre 	72271	-6	-4	127144873.5	1	1974				-6	-7	-8	-5	-5	-5
 The  Towering  Inferno 	72308	-6	-4	127144873.5	1	1974				-6	-7	-8	-5	-5	-5
 Young  Frankenstein 	72431	-6	-4	412931705.1	2	1974				-6	-7	-8	-5	-5	-5
 Barry  Lyndon 	72684	-6	-4	87681918.55	1	1975				-6	-7	-8	-5	-5	-5
Jaws	73195	-6	-4	2063593941	1	1975				-6	-7	-8	-5	-5	-5
 One  Flew  Over  the  Cuckoo&#39;s  Nest 	73486	-6	-4	477784361.4	2	1975				-6	-7	-8	-5	-5	-5
 The  Rocky  Horror  Picture  Show 	73629	-6	-4	613231626.7	3	1975				-6	-7	-8	-5	-5	-5
 Assault  on  Precinct  13 	74156	-6	-4	149381076	1	1976				-6	-7	-8	-5	-5	-5
Eraserhead	74486	-6	-4	27250073.78	0	1977				-6	-7	-8	-5	-5	-5
 Family  Plot 	74512	-6	-4	54710911.52	3	1976				-6	-7	-8	-5	-5	-5
 Logan&#39;s  Run 	74812	-6	-4	103619149.8	2	1976				-6	-7	-8	-5	-5	-5
Network	74958	-6	-4	98188996.51	3	1976				-6	-7	-8	-5	-5	-5
Rocky	75148	-6	-4	932572347.1	1	1976				-6	-7	-8	-5	-5	-5
 Silent  Movie 	75222	-6	-4	149815447	1	1976				-6	-7	-8	-5	-5	-5
Sparkle	75249	-6	-4	102211267.7	3	1976				-6	-7	-8	-5	-5	-5
 Taxi  Driver 	75314	-6	-4	117141755.4	1	1976				-6	-7	-8	-5	-5	-5
 Annie  Hall 	75686	-6	-4	148907737.3	3	1977				-6	-7	-8	-5	-5	-5
 A  Bridge  Too  Far 	75784	-6	-4	197757680	1	1977				-6	-7	-8	-5	-5	-5
 Close  Encounters  of  the  Third  Kind 	75860	-6	-4	1314621426	1	1977				-6	-7	-8	-5	-5	-5
 High  Anxiety 	76141	-6	-4	120924297.7	1	1977				-6	-7	-8	-5	-5	-5
Julia	76245	-6	-4	5314185.08	3	1977				-6	-7	-8	-5	-5	-5
 Star  Wars 	76759	-6	-4	3106119145	1	1977				-6	-7	-8	-5	-5	-5
 Dawn  of  the  Dead 	77402	-6	-4	374178976.4	0	1978				-6	-7	-8	-5	-5	-5
 Days  of  Heaven 	77405	-6	-4	13241046.4	3	1978				-6	-7	-8	-5	-5	-5
 The  Deer  Hunter 	77416	-6	-4	180845131.6	1	1978				-6	-7	-8	-5	-5	-5
Grease	77631	-6	-4	1401599578	3	1978				-6	-7	-8	-5	-5	-5
