Title	IMDB	Budget	Dom Box Office	Intl Box Office	Score	Year	Writers	Directors	Producers	Female Char %	Female Talk %	Female Writer %	Female Director %	Female Producer %	Overall Female Production %	Genre
 Now and Then 	114011	-7.75491805	41980856.46	41980856.46	3	1995	" [['I. Marlene King', 'f']] "	" [['Lesli Linka Glatter', 'f']] "	" [['Eric McLeod', 'm'], ['Demi Moore', 'f'], ['Jennifer Todd', 'f'], ['Suzanne Todd', 'f']] "	1	1	1	1	0.75	0.833333333	Drama
 The Descent 	435625	-6	-4	74223420	3	2005	" [['Neil Marshall', 'm']] "	" [['Neil Marshall', 'm']] "	" [['Christian Colson', 'm'], ['Paul Ritchie', 'm'], ['Paul Smith', 'm']] "	1	1	0	0	0	0	&&&&
 Precious: Based on the Novel Push by Sapphire 	929632	-6	-4	52703975	3	2009	" [['Geoffrey Fletcher', 'm'], ['Sapphire', 'f']] "	" [['Lee Daniels', 'm']] "	" [['Lisa Cortes', 'f'], ['Lee Daniels', 'm'], ['Tom Heller', 'm'], ['Kim Jose', 'NULL'], ['Gary Magness', 'm'], ['Mark G. Mathis', 'm'], ['Tyler Perry', 'm'], ['Simone Sheffield', 'NULL'], ['Sarah Siegel-Magness', 'f'], ['Oprah Winfrey', 'f']] "	0.909090909	0.993541076	0.5	0	0.3	0.307692308	&&&&
 Black Christmas 	454082	-6	-4	27383313	3	2006	" [['Glen Morgan', 'm'], ['Roy Moore', 'm']] "	" [['Glen Morgan', 'm']] "	" [['Marty Adelstein', 'm'], ['Marc Butan', 'm'], ['Bob Clark', 'm'], ['Mark Cuban', 'm'], ['Ogden Gavanski', 'NULL'], ['Steven Hoban', 'm'], ['Kent Kubena', 'm'], ['Satsuki Mitchell', 'f'], ['Glen Morgan', 'm'], ['Scott Nemes', 'm'], ['Dawn Parouse', 'f'], ['Noah Segal', 'm'], ['Victor Solnicki', 'm'], ['Mike Upton', 'm'], ['Todd Wagner', 'm'], ['James Wong', 'm']] "	0.888888889	0.877466728	0	0	0.125	0.105263158	&&&&
 The Runaways 	1017451	10308937.26	3877975.866	5728114.324	3	2010	" [['Floria Sigismondi', 'f'], ['Cherie Currie', 'f']] "	" [['Floria Sigismondi', 'f']] "	" [['David Grace', 'm'], ['Frank Hildebrand', 'm'], ['Joan Jett', 'f'], ['Kenny Laguna', 'NULL'], ['Art Linson', 'm'], ['John Linson', 'm'], ['Bill Pohlad', 'm'], ['Brian Young', 'm']] "	0.875	0.707900208	1	1	0.125	0.363636364	Drama
 The Craft 	115963	-6	-4	58308300	3	1996	" [['Peter Filardi', 'm'], ['Andrew Fleming', 'm']] "	" [['Andrew Fleming', 'm']] "	" [['Ginny Nugent', 'NULL'], ['Lisa Tornell', 'f'], ['Douglas Wick', 'm']] "	0.857142857	0.891865563	0	0	0.333333333	0.166666667	&&&&
 Infinitely Polar Bear 	1969062	-6	-4	1460699	3	2014	" [['Maya Forbes', 'f']] "	" [['Maya Forbes', 'f']] "	" [['J.J. Abrams', 'm'], ['Jackie Kelman Bisbee', 'f'], ['Sam Bisbee', ''], ['Bryan Burk', 'm'], ['Stewart Anderson Burkland', 'NULL'], ['W. Elliott Burkland', 'm'], ['Bingo Gubelmann', 'NULL'], ['Erika Hampson', 'f'], ['Benji Kohn', 'NULL'], ['Noah Millman', 'm'], ['Ruth Mutch', 'f'], ['Galt Niederhoffer', 'NULL'], ['Danny Rifkin', 'm'], ['Rick Rifkin', 'm'], ['Jonathan Rubenstein', 'm'], ['Mark Ruffalo', 'm'], ['Stefan Sonnenfeld', 'm'], ['Austin Stark', 'm'], ['Tom Valerio', 'm'], ['Wallace Wolodarsky', 'm']] "	0.857142857	0.512410555	1	1	0.15	0.227272727	&&&&
 Black Swan 	947798	14106966.77	116062006.8	359474497.7	3	2010	" [['Mark Heyman', 'm'], ['Andres Heinz', 'm'], ['John J. McLaughlin', 'm']] "	" [['Darren Aronofsky', 'm']] "	" [['Jon Avnet', 'm'], ['Brad Fischer', 'm'], ['Scott Franklin', 'm'], ['Jerry Fruchtman', 'm'], ['Peter Fruchtman', 'm'], ['Ari Handel', 'm'], ['Mike Medavoy', 'm'], ['Arnold Messer', 'm'], ['Brian Oliver', 'm'], ['Joseph P. Reidy', 'm'], ['Jennifer Roth', 'f'], ['Rick Schwartz', 'm'], ['Tyler Thompson', 'm'], ['David Thwaites', 'm']] "	0.8	0.556593031	0	0	0.071428571	0.055555556	Thriller/Suspense
 Enough Said 	2390361	8103501.44	17777939.57	25952931.11	3	2013	" [['Nicole Holofcener', 'f']] "	" [['Nicole Holofcener', 'f']] "	" [['Stefanie Azpiazu', 'f'], ['Anthony Bregman', 'm'], ['Chrisann Verges', 'f']] "	0.8	0.72786759	1	1	0.666666667	0.8	Comedy
 Mistress America 	2872462	-6	-4	-20	3	2015				0.777777778	0.848286686	-5	-5	-5	-5	&&&&
