person1	 person1  av 	person2	 person2  av 	sharedTitles	numSharedTitles
 Bill  Bannerman 	2.375	 Greg  Mooradian 	2.7142857142857144	 ['  New    Moon  ',  '  The    Twilight    Saga:    Breaking    Dawn    -    Part    1  ',  '  The    Twilight    Saga:    Eclipse  ',  '  The    Twilight    Saga:    Breaking    Dawn    -    Part    2  '] 	4	3.0
 Bill  Bannerman 	2.375	 Mark  Morgan 	3.0	 ['  New    Moon  ',  '  The    Twilight    Saga:    Eclipse  ',  '  Percy    Jackson:    Sea    of    Monsters  ',  '  The    Twilight    Saga:    Breaking    Dawn    -    Part    1  ',  '  The    Twilight    Saga:    Breaking    Dawn    -    Part    2  '] 	5	3.0
 Bill  Bannerman 	2.375	 Stephenie  Meyer 	3.0	 ['  New    Moon  ',  '  The    Twilight    Saga:    Breaking    Dawn    -    Part    1  ',  '  The    Twilight    Saga:    Eclipse  ',  '  The    Twilight    Saga:    Breaking    Dawn    -    Part    2  '] 	4	3.0
 Bill  Bannerman 	2.375	 Melissa  Rosenberg 	3.0	 ['  New    Moon  ',  '  The    Twilight    Saga:    Breaking    Dawn    -    Part    1  ',  '  The    Twilight    Saga:    Eclipse  ',  '  The    Twilight    Saga:    Breaking    Dawn    -    Part    2  '] 	4	3.0
 Bill  Bannerman 	2.375	 Guy  Oseary 	3.0	 ['  New    Moon  ',  '  The    Twilight    Saga:    Breaking    Dawn    -    Part    1  ',  '  The    Twilight    Saga:    Eclipse  ',  '  The    Twilight    Saga:    Breaking    Dawn    -    Part    2  '] 	4	3.0
 Bill  Bannerman 	2.375	 Karen  Rosenfelt 	2.6153846153846154	 ['  New    Moon  ',  '  The    Twilight    Saga:    Eclipse  ',  '  Percy    Jackson:    Sea    of    Monsters  ',  '  The    Twilight    Saga:    Breaking    Dawn    -    Part    1  ',  '  The    Twilight    Saga:    Breaking    Dawn    -    Part    2  '] 	5	3.0
 Greg  Mooradian 	2.7142857142857144	 Mark  Morgan 	3.0	 ['  New    Moon  ',  '  The    Twilight    Saga:    Eclipse  ',  '  Percy    Jackson    &    the    Olympians:    The    Lightning    Thief  ',  '  The    Twilight    Saga:    Breaking    Dawn    -    Part    1  ',  'Twilight',  '  The    Twilight    Saga:    Breaking    Dawn    -    Part    2  '] 	6	3.0
 Greg  Mooradian 	2.7142857142857144	 Stephenie  Meyer 	3.0	 ['  New    Moon  ',  '  The    Twilight    Saga:    Eclipse  ',  '  The    Twilight    Saga:    Breaking    Dawn    -    Part    1  ',  'Twilight',  '  The    Twilight    Saga:    Breaking    Dawn    -    Part    2  '] 	5	3.0
 Greg  Mooradian 	2.7142857142857144	 Melissa  Rosenberg 	3.0	 ['  New    Moon  ',  '  The    Twilight    Saga:    Eclipse  ',  '  The    Twilight    Saga:    Breaking    Dawn    -    Part    1  ',  'Twilight',  '  The    Twilight    Saga:    Breaking    Dawn    -    Part    2  '] 	5	3.0
 Greg  Mooradian 	2.7142857142857144	 Guy  Oseary 	3.0	 ['  New    Moon  ',  '  The    Twilight    Saga:    Eclipse  ',  '  Percy    Jackson    &    the    Olympians:    The    Lightning    Thief  ',  '  The    Twilight    Saga:    Breaking    Dawn    -    Part    1  ',  'Twilight',  '  The    Twilight    Saga:    Breaking    Dawn    -    Part    2  '] 	6	3.0
 Greg  Mooradian 	2.7142857142857144	 Karen  Rosenfelt 	2.6153846153846154	 ['  New    Moon  ',  '  The    Twilight    Saga:    Eclipse  ',  '  Percy    Jackson    &    the    Olympians:    The    Lightning    Thief  ',  '  The    Twilight    Saga:    Breaking    Dawn    -    Part    1  ',  'Twilight',  '  The    Twilight    Saga:    Breaking    Dawn    -    Part    2  '] 	6	3.0
 Mark  Morgan 	3.0	 Stephenie  Meyer 	3.0	 ['  New    Moon  ',  '  The    Twilight    Saga:    Eclipse  ',  '  The    Twilight    Saga:    Breaking    Dawn    -    Part    1  ',  'Twilight',  '  The    Twilight    Saga:    Breaking    Dawn    -    Part    2  '] 	5	3.0
 Mark  Morgan 	3.0	 Melissa  Rosenberg 	3.0	 ['  New    Moon  ',  '  The    Twilight    Saga:    Eclipse  ',  '  The    Twilight    Saga:    Breaking    Dawn    -    Part    1  ',  'Twilight',  '  The    Twilight    Saga:    Breaking    Dawn    -    Part    2  '] 	5	3.0
 Mark  Morgan 	3.0	 Guy  Oseary 	3.0	 ['  New    Moon  ',  '  The    Twilight    Saga:    Eclipse  ',  '  Percy    Jackson    &    the    Olympians:    The    Lightning    Thief  ',  '  The    Twilight    Saga:    Breaking    Dawn    -    Part    1  ',  '  Material    Girls  ',  'Twilight',  '  The    Twilight    Saga:    Breaking    Dawn    -    Part    2  '] 	7	3.0
 Mark  Morgan 	3.0	 Karen  Rosenfelt 	2.6153846153846154	 ['  New    Moon  ',  '  The    Twilight    Saga:    Eclipse  ',  '  Percy    Jackson    &    the    Olympians:    The    Lightning    Thief  ',  '  Percy    Jackson:    Sea    of    Monsters  ',  '  The    Twilight    Saga:    Breaking    Dawn    -    Part    1  ',  'Twilight',  '  The    Twilight    Saga:    Breaking    Dawn    -    Part    2  '] 	7	3.0
 Stephenie  Meyer 	3.0	 Melissa  Rosenberg 	3.0	 ['  New    Moon  ',  '  The    Twilight    Saga:    Eclipse  ',  '  The    Twilight    Saga:    Breaking    Dawn    -    Part    1  ',  'Twilight',  '  The    Twilight    Saga:    Breaking    Dawn    -    Part    2  '] 	5	3.0
 Stephenie  Meyer 	3.0	 Guy  Oseary 	3.0	 ['  New    Moon  ',  '  The    Twilight    Saga:    Eclipse  ',  '  The    Twilight    Saga:    Breaking    Dawn    -    Part    1  ',  'Twilight',  '  The    Twilight    Saga:    Breaking    Dawn    -    Part    2  '] 	5	3.0
 Stephenie  Meyer 	3.0	 Karen  Rosenfelt 	2.6153846153846154	 ['  New    Moon  ',  '  The    Twilight    Saga:    Eclipse  ',  '  The    Twilight    Saga:    Breaking    Dawn    -    Part    1  ',  'Twilight',  '  The    Twilight    Saga:    Breaking    Dawn    -    Part    2  '] 	5	3.0
 Melissa  Rosenberg 	3.0	 Guy  Oseary 	3.0	 ['  New    Moon  ',  '  The    Twilight    Saga:    Eclipse  ',  '  The    Twilight    Saga:    Breaking    Dawn    -    Part    1  ',  'Twilight',  '  The    Twilight    Saga:    Breaking    Dawn    -    Part    2  '] 	5	3.0
 Melissa  Rosenberg 	3.0	 Karen  Rosenfelt 	2.6153846153846154	 ['  New    Moon  ',  '  The    Twilight    Saga:    Eclipse  ',  '  The    Twilight    Saga:    Breaking    Dawn    -    Part    1  ',  'Twilight',  '  The    Twilight    Saga:    Breaking    Dawn    -    Part    2  '] 	5	3.0
 Guy  Oseary 	3.0	 Karen  Rosenfelt 	2.6153846153846154	 ['  New    Moon  ',  '  The    Twilight    Saga:    Eclipse  ',  '  Percy    Jackson    &    the    Olympians:    The    Lightning    Thief  ',  '  The    Twilight    Saga:    Breaking    Dawn    -    Part    1  ',  'Twilight',  '  The    Twilight    Saga:    Breaking    Dawn    -    Part    2  '] 	6	3.0
 Tom  DeSanto 	2.25	 Steven  Spielberg 	1.76	 ['Transformers',  '  Transformers:    Revenge    of    the    Fallen  ',  '  Transformers:    Age    of    Extinction  ',  '  Transformers:    Dark    of    the    Moon  '] 	4	3.0
 Tom  DeSanto 	2.25	 Ian  Bryce 	2.230769230769231	 ['Transformers',  '  Transformers:    Revenge    of    the    Fallen  ',  '  Transformers:    Age    of    Extinction  ',  '  Transformers:    Dark    of    the    Moon  '] 	4	3.0
 Tom  DeSanto 	2.25	 Kenny  Bates 	3.0	 ['Transformers',  '  Transformers:    Revenge    of    the    Fallen  ',  '  Transformers:    Dark    of    the    Moon  '] 	3	3.0
 Tom  DeSanto 	2.25	 Don  Murphy 	2.1818181818181817	 ['  Transformers:    Age    of    Extinction  ',  'Transformers',  '  Transformers:    Dark    of    the    Moon  ',  '  Transformers:    Revenge    of    the    Fallen  ',  '  Apt    Pupil  '] 	5	2.6
 Tom  DeSanto 	2.25	 Allegra  Clegg 	2.3	 ['Transformers',  '  Transformers:    Revenge    of    the    Fallen  ',  '  Transformers:    Age    of    Extinction  ',  '  Transformers:    Dark    of    the    Moon  '] 	4	3.0
 Tom  DeSanto 	2.25	 Mark  Vahradian 	2.5	 ['Transformers',  '  Transformers:    Revenge    of    the    Fallen  ',  '  Transformers:    Age    of    Extinction  ',  '  Transformers:    Dark    of    the    Moon  '] 	4	3.0
 Tom  DeSanto 	2.25	 Michael  Bay 	2.4444444444444446	 ['Transformers',  '  Transformers:    Revenge    of    the    Fallen  ',  '  Transformers:    Age    of    Extinction  ',  '  Transformers:    Dark    of    the    Moon  '] 	4	3.0
 Steven  Spielberg 	1.76	 Ian  Bryce 	2.230769230769231	 ['  Transformers:    Age    of    Extinction  ',  '  Saving    Private    Ryan  ',  'Twister',  'Transformers',  '  Transformers:    Dark    of    the    Moon  ',  '  Transformers:    Revenge    of    the    Fallen  '] 	6	2.5
 Steven  Spielberg 	1.76	 Kenny  Bates 	3.0	 ['Transformers',  '  Transformers:    Revenge    of    the    Fallen  ',  '  Transformers:    Dark    of    the    Moon  '] 	3	3.0
 Steven  Spielberg 	1.76	 Don  Murphy 	2.1818181818181817	 ['  Transformers:    Age    of    Extinction  ',  'Transformers',  '  Transformers:    Dark    of    the    Moon  ',  '  Transformers:    Revenge    of    the    Fallen  ',  '  Real    Steel  '] 	5	2.6
 Steven  Spielberg 	1.76	 Allegra  Clegg 	2.3	 ['Transformers',  '  Transformers:    Revenge    of    the    Fallen  ',  '  Transformers:    Age    of    Extinction  ',  '  Transformers:    Dark    of    the    Moon  '] 	4	3.0
 Steven  Spielberg 	1.76	 Mark  Vahradian 	2.5	 ['Transformers',  '  Transformers:    Revenge    of    the    Fallen  ',  '  Transformers:    Age    of    Extinction  ',  '  Transformers:    Dark    of    the    Moon  '] 	4	3.0
