person1	 person1  av 	person2	 person2  av 	sharedTitles	numSharedTitles
 Pamela  Pettler 	2.0	 Shane  Acker 	0.0	['9']	1	0.0
 Pamela  Pettler 	2.0	 Tim  Burton 	2.1	 ['  Corpse    Bride  ',  '9'] 	2	1.5
 Pamela  Pettler 	2.0	 Joe  Ranft 	1.8	 ['  Corpse    Bride  '] 	1	3.0
 Pamela  Pettler 	2.0	 Steven  Spielberg 	1.76	 ['  Monster    House  '] 	1	3.0
 Pamela  Pettler 	2.0	 Robert  Zemeckis 	2.4285714285714284	 ['  Monster    House  '] 	1	3.0
 Pamela  Pettler 	2.0	 John  August 	2.272727272727273	 ['  Corpse    Bride  '] 	1	3.0
 Pamela  Pettler 	2.0	 Caroline  Thompson 	3.0	 ['  Corpse    Bride  '] 	1	3.0
 Pamela  Pettler 	2.0	 Dan  Harmon 	3	 ['  Monster    House  '] 	1	3.0
 Pamela  Pettler 	2.0	 Rob  Schrab 	3	 ['  Monster    House  '] 	1	3.0
 Shane  Acker 	0.0	 Tim  Burton 	2.1	['9']	1	0.0
 Tim  Burton 	2.1	 Scott  Alexander 	2.2	 ['  Big    Eyes  '] 	1	3.0
 Tim  Burton 	2.1	 Larry  Karaszewski 	2.2	 ['  Big    Eyes  '] 	1	3.0
 Tim  Burton 	2.1	 Andrew  Kevin  Walker 	1.8	 ['  Sleepy    Hollow  '] 	1	3.0
 Tim  Burton 	2.1	 Joel  Schumacher 	1.4166666666666667	 ['  Batman    Forever  '] 	1	1.0
 Tim  Burton 	2.1	 Akiva  Goldsman 	2.1481481481481484	 ['  Batman    Forever  '] 	1	1.0
 Tim  Burton 	2.1	 Joe  Ranft 	1.8	 ['  Corpse    Bride  '] 	1	3.0
 Tim  Burton 	2.1	 Seth  Grahame-Smith 	3.0	 ['  Dark    Shadows  ',  '  Abraham    Lincoln:    Vampire    Hunter  '] 	2	3.0
 Tim  Burton 	2.1	 Simon  Kinberg 	1.6666666666666667	 ['  Abraham    Lincoln:    Vampire    Hunter  '] 	1	3.0
 Tim  Burton 	2.1	 Linda  Woolverton 	3.0	 ['  Alice    in    Wonderland  '] 	1	3.0
 Tim  Burton 	2.1	 Lewis  Carroll 	3	 ['  Alice    in    Wonderland  '] 	1	3.0
 Tim  Burton 	2.1	 William  Broyles  Jr. 	1.8	 ['  Planet    of    the    Apes  '] 	1	3.0
 Tim  Burton 	2.1	 Lee  Batchler 	2.0	 ['  Batman    Forever  '] 	1	1.0
 Tim  Burton 	2.1	 Janet  Scott  Batchler 	2.0	 ['  Batman    Forever  '] 	1	1.0
 Tim  Burton 	2.1	 Daniel  Wallace 	1	 ['  Big    Fish  '] 	1	1.0
 Tim  Burton 	2.1	 John  August 	2.272727272727273	 ['Frankenweenie',  '  Dark    Shadows  ',  '  Corpse    Bride  ',  '  Charlie    and    the    Chocolate    Factory  ',  '  Big    Fish  '] 	5	2.0
 Tim  Burton 	2.1	 Arne  Schmidt 	1.5	 ['  Big    Fish  '] 	1	1.0
 Tim  Burton 	2.1	 Roald  Dahl 	2.5	 ['  James    and    the    Giant    Peach  ',  '  Charlie    and    the    Chocolate    Factory  '] 	2	3.0
 Tim  Burton 	2.1	 Karey  Kirkpatrick 	2.5	 ['  James    and    the    Giant    Peach  '] 	1	3.0
 Tim  Burton 	2.1	 Caroline  Thompson 	3.0	 ['  Corpse    Bride  '] 	1	3.0
 Tim  Burton 	2.1	 Henry  Selick 	3.0	 ['  James    and    the    Giant    Peach  '] 	1	3.0
 Tim  Burton 	2.1	 Dan  Curtis 	3	 ['  Dark    Shadows  '] 	1	3.0
 Tim  Burton 	2.1	 Pierre  Boulle 	1.6666666666666667	 ['  Planet    of    the    Apes  '] 	1	3.0
 Tim  Burton 	2.1	 Leonard  Ripps 	0	['Frankenweenie']	1	0.0
 Tim  Burton 	2.1	 John  Logan 	1.3	 ['  Sweeney    Todd:    The    Demon    Barber    of    Fleet    Street  '] 	1	1.0
 Tim  Burton 	2.1	 Kevin  Yagher 	2.3333333333333335	 ['  Sleepy    Hollow  '] 	1	3.0
 Tim  Burton 	2.1	 Jonathan  Roberts 	2.0	 ['  James    and    the    Giant    Peach  '] 	1	3.0
 Tim  Burton 	2.1	 Steve  Bloom 	3	 ['  James    and    the    Giant    Peach  '] 	1	3.0
 Tim  Burton 	2.1	 Len  Brown 	3	 ['  Mars    Attacks!  '] 	1	3.0
 Tim  Burton 	2.1	 Woody  Gelman 	3	 ['  Mars    Attacks!  '] 	1	3.0
 Tim  Burton 	2.1	 Wally  Wood 	3	 ['  Mars    Attacks!  '] 	1	3.0
 Tim  Burton 	2.1	 Bob  Powell 	3	 ['  Mars    Attacks!  '] 	1	3.0
 Tim  Burton 	2.1	 Norman  Saunders 	3	 ['  Mars    Attacks!  '] 	1	3.0
 Tim  Burton 	2.1	 Jonathan  Gems 	3	 ['  Mars    Attacks!  '] 	1	3.0
 Tim  Burton 	2.1	 Lawrence  Konner 	2.0	 ['  Planet    of    the    Apes  '] 	1	3.0
 Tim  Burton 	2.1	 Mark  Rosenthal 	2.0	 ['  Planet    of    the    Apes  '] 	1	3.0
 Tim  Burton 	2.1	 Washington  Irving 	3	 ['  Sleepy    Hollow  '] 	1	3.0
 Tim  Burton 	2.1	 Hugh  Wheeler 	1	 ['  Sweeney    Todd:    The    Demon    Barber    of    Fleet    Street  '] 	1	1.0
 Tim  Burton 	2.1	 Christopher  Bond 	1	 ['  Sweeney    Todd:    The    Demon    Barber    of    Fleet    Street  '] 	1	1.0
 Peter  Steinfeld 	3	 Allan  Loeb 	2.6666666666666665	['21']	1	3.0
 Peter  Steinfeld 	3	 Ben  Mezrich 	2.0	['21']	1	3.0
 Allan  Loeb 	2.6666666666666665	 Ben  Mezrich 	2.0	['21']	1	3.0
 Allan  Loeb 	2.6666666666666665	 Steve  Koren 	2.583333333333333	 ['  Just    Go    with    It  '] 	1	3.0
 Allan  Loeb 	2.6666666666666665	 Oliver  Stone 	2.4285714285714284	 ['  Wall    Street:    Money    Never    Sleeps  '] 	1	3.0
 Allan  Loeb 	2.6666666666666665	 Alessandro  Camon 	1.4285714285714286	 ['  Wall    Street:    Money    Never    Sleeps  '] 	1	3.0
 Allan  Loeb 	2.6666666666666665	 Tim  Herlihy 	1.9333333333333333	 ['  Just    Go    with    It  '] 	1	3.0
 Allan  Loeb 	2.6666666666666665	 Adam  Sandler 	2.1666666666666674	 ['  Just    Go    with    It  '] 	1	3.0
 Allan  Loeb 	2.6666666666666665	 Allen  Covert 	2.25	 ['  Just    Go    with    It  '] 	1	3.0
 Allan  Loeb 	2.6666666666666665	 Justin  Theroux 	1.2	 ['  Rock    of    Ages  '] 	1	3.0
 Allan  Loeb 	2.6666666666666665	 Timothy  Dowling 	1.75	 ['  Just    Go    with    It  '] 	1	3.0
 Allan  Loeb 	2.6666666666666665	 I.A.L.  Diamond 	3	 ['  Just    Go    with    It  '] 	1	3.0
 Allan  Loeb 	2.6666666666666665	 Abe  Burrows 	3	 ['  Just    Go    with    It  '] 	1	3.0
 Allan  Loeb 	2.6666666666666665	 Pierre  Barillet 	3	 ['  Just    Go    with    It  '] 	1	3.0
 Allan  Loeb 	2.6666666666666665	 Jean-Pierre  Gredy 	3	 ['  Just    Go    with    It  '] 	1	3.0
 Allan  Loeb 	2.6666666666666665	 Chris  D'Arienzo 	3.0	 ['  Rock    of    Ages  '] 	1	3.0
 Allan  Loeb 	2.6666666666666665	 Jeffrey  Eugenides 	2.5	 ['  The    Switch  '] 	1	2.0
 Allan  Loeb 	2.6666666666666665	 Stephen  Schiff 	3	 ['  Wall    Street:    Money    Never    Sleeps  '] 	1	3.0
 Ben  Mezrich 	2.0	 Aaron  Sorkin 	2.2	 ['  The    Social    Network  '] 	1	1.0
 Brian  Helgeland 	1.5	 Curtis  Hanson 	1.625	 ['  L.A.    Confidential  '] 	1	1.0
 Brian  Helgeland 	1.5	 Andy  Wachowski 	2.84	['Assassins']	1	1.0
 Brian  Helgeland 	1.5	 Lana  Wachowski 	2.84	['Assassins']	1	1.0
 Brian  Helgeland 	1.5	 Bruce  A.  Evans 	1.5	['Assassins']	1	1.0
 Brian  Helgeland 	1.5	 Raynold  Gideon 	1.5	['Assassins']	1	1.0
 Brian  Helgeland 	1.5	 James  Ellroy 	1.0	 ['  L.A.    Confidential  '] 	1	1.0
 Brian  Helgeland 	1.5	 J.  Mills  Goodloe 	2.5	 ['  Conspiracy    Theory  '] 	1	2.0
 Brian  Helgeland 	1.5	 Eric  Roth 	1.4	 ['  The    Postman  '] 	1	1.0
 Brian  Helgeland 	1.5	 Terry  Hayes 	1.6666666666666667	['Payback']	1	1.0
 Brian  Helgeland 	1.5	 Dennis  Lehane 	1.8	 ['  Mystic    River  '] 	1	3.0
 Brian  Helgeland 	1.5	 Rajiv  Chandrasekaran 	0	 ['  Green    Zone  '] 	1	0.0
 Brian  Helgeland 	1.5	 Ethan  Reiff 	3.0	 ['  Robin    Hood  '] 	1	3.0
 Brian  Helgeland 	1.5	 Cyrus  Voris 	3.0	 ['  Robin    Hood  '] 	1	3.0
 Brian  Helgeland 	1.5	 Donald  E.  Westlake 	2.0	['Payback']	1	1.0
 Brian  Helgeland 	1.5	 David  Brin 	1	 ['  The    Postman  '] 	1	1.0
 Brian  Helgeland 	1.5	 John  Godey 	0	 ['  The    Taking    of    Pelham    123  '] 	1	0.0
 Zack  Snyder 	2.0	 Kurt  Johnstad 	0.3333333333333333	 ['300',  '  300:    Rise    of    an    Empire  '] 	2	0.5
 Zack  Snyder 	2.0	 Michael  Gordon 	0.5	['300']	1	0.0
 Zack  Snyder 	2.0	 Frank  Miller 	1.3636363636363635	 ['300',  '  300:    Rise    of    an    Empire  '] 	2	0.5
 Zack  Snyder 	2.0	 Lynn  Varley 	0	['300']	1	0.0
 Zack  Snyder 	2.0	 David  S.  Goyer 	1.4285714285714286	 ['  Man    of    Steel  '] 	1	3.0
 Zack  Snyder 	2.0	 Christopher  Nolan 	1.9565217391304348	 ['  Man    of    Steel  '] 	1	3.0
 Zack  Snyder 	2.0	 George  A.  Romero 	2.25	 ['  Dawn    of    the    Dead  '] 	1	3.0
 Zack  Snyder 	2.0	 James  Gunn 	2.6	 ['  Dawn    of    the    Dead  '] 	1	3.0
 Zack  Snyder 	2.0	 Alan  Moore 	2.0	['Watchmen']	1	3.0
 Zack  Snyder 	2.0	 Dave  Gibbons 	3.0	['Watchmen']	1	3.0
 Zack  Snyder 	2.0	 Jerry  Siegel 	3	 ['  Man    of    Steel  '] 	1	3.0
 Zack  Snyder 	2.0	 Joe  Shuster 	3	 ['  Man    of    Steel  '] 	1	3.0
 Zack  Snyder 	2.0	 Steve  Shibuya 	3	 ['  Sucker    Punch  '] 	1	3.0
 Zack  Snyder 	2.0	 David  Hayter 	2.3333333333333335	['Watchmen']	1	3.0
 Zack  Snyder 	2.0	 Alex  Tse 	3	['Watchmen']	1	3.0
 Kurt  Johnstad 	0.3333333333333333	 Michael  Gordon 	0.5	['300']	1	0.0
 Kurt  Johnstad 	0.3333333333333333	 Frank  Miller 	1.3636363636363635	 ['300',  '  300:    Rise    of    an    Empire  '] 	2	0.5
 Kurt  Johnstad 	0.3333333333333333	 Lynn  Varley 	0	['300']	1	0.0
 Michael  Gordon 	0.5	 Frank  Miller 	1.3636363636363635	['300']	1	0.0
 Michael  Gordon 	0.5	 Lynn  Varley 	0	['300']	1	0.0
 Michael  Gordon 	0.5	 Stuart  Beattie 	1.5714285714285714	 ['  G.I.    Joe:    The    Rise    of    Cobra  '] 	1	1.0
 Michael  Gordon 	0.5	 Stephen  Sommers 	2.090909090909091	 ['  G.I.    Joe:    The    Rise    of    Cobra  '] 	1	1.0
 Michael  Gordon 	0.5	 David  Elliot 	1	 ['  G.I.    Joe:    The    Rise    of    Cobra  '] 	1	1.0
 Michael  Gordon 	0.5	 Paul  Lovett 	1	 ['  G.I.    Joe:    The    Rise    of    Cobra  '] 	1	1.0
 Michael  Gordon 	0.5	 Bob  Ducsay 	2.4	 ['  G.I.    Joe:    The    Rise    of    Cobra  '] 	1	1.0
 Frank  Miller 	1.3636363636363635	 Lynn  Varley 	0	['300']	1	0.0
 Frank  Miller 	1.3636363636363635	 Adam  Fields 	2.25	 ['  Sin    City:    A    Dame    to    Kill    For  '] 	1	1.0
 Frank  Miller 	1.3636363636363635	 Quentin  Tarantino 	2.411764705882353	 ['  Sin    City  '] 	1	3.0
 Frank  Miller 	1.3636363636363635	 Robert  Rodriguez 	2.423076923076923	 ['  Sin    City  ',  '  Sin    City:    A    Dame    to    Kill    For  '] 	2	2.0
 Frank  Miller 	1.3636363636363635	 Will  Eisner 	2	 ['  The    Spirit  '] 	1	2.0
 Matt  Greenberg 	2.5	 Scott  Alexander 	2.2	['1408']	1	3.0
 Matt  Greenberg 	2.5	 Larry  Karaszewski 	2.2	['1408']	1	3.0
 Matt  Greenberg 	2.5	 Stephen  King 	2.125	['1408']	1	3.0
 Matt  Greenberg 	2.5	 Steven  Knight 	1.7777777777777777	 ['  Seventh    Son  '] 	1	3.0
 Matt  Greenberg 	2.5	 Charles  Leavitt 	2.0	 ['  Seventh    Son  '] 	1	3.0
 Matt  Greenberg 	2.5	 Kevin  Williamson 	3.0	 ['  Halloween    H20:    20    Years    Later  '] 	1	3.0
 Matt  Greenberg 	2.5	 Robert  Zappia 	3	 ['  Halloween    H20:    20    Years    Later  '] 	1	3.0
 Matt  Greenberg 	2.5	 Lionel  Wigram 	2.4	 ['  Seventh    Son  '] 	1	3.0
 Matt  Greenberg 	2.5	 Gregg  Chabot 	1	 ['  Reign    of    Fire  '] 	1	1.0
 Matt  Greenberg 	2.5	 Kevin  Peterka 	1	 ['  Reign    of    Fire  '] 	1	1.0
 Matt  Greenberg 	2.5	 Joseph  Delaney 	3	 ['  Seventh    Son  '] 	1	3.0
 Scott  Alexander 	2.2	 Larry  Karaszewski 	2.2	 ['  Man    on    the    Moon  ',  '1408',  'Goosebumps',  '  Big    Eyes  '] 	4	2.0
 Scott  Alexander 	2.2	 Stephen  King 	2.125	['1408']	1	3.0
 Scott  Alexander 	2.2	 Darren  Lemke 	1.25	['Goosebumps']	1	1.0
 Scott  Alexander 	2.2	 R.L.  Stine 	1	['Goosebumps']	1	1.0
 Scott  Alexander 	2.2	 Rob  Letterman 	1.8	['Goosebumps']	1	1.0
 Larry  Karaszewski 	2.2	 Stephen  King 	2.125	['1408']	1	3.0
 Larry  Karaszewski 	2.2	 Darren  Lemke 	1.25	['Goosebumps']	1	1.0
 Larry  Karaszewski 	2.2	 R.L.  Stine 	1	['Goosebumps']	1	1.0
 Larry  Karaszewski 	2.2	 Rob  Letterman 	1.8	['Goosebumps']	1	1.0
 Stephen  King 	2.125	 Brandon  Boyce 	1	 ['  Apt    Pupil  '] 	1	1.0
 Stephen  King 	2.125	 Bryan  Singer 	1.4761904761904763	 ['  Apt    Pupil  '] 	1	1.0
 Stephen  King 	2.125	 Tom  DeSanto 	2.25	 ['  Apt    Pupil  '] 	1	1.0
 Stephen  King 	2.125	 Tony  Gilroy 	2.285714285714286	 ['  Dolores    Claiborne  '] 	1	3.0
 Stephen  King 	2.125	 Kimberly  Peirce 	3.0	['Carrie']	1	3.0
 Stephen  King 	2.125	 Lawrence  D.  Cohen 	3	['Carrie']	1	3.0
 Stephen  King 	2.125	 Roberto  Aguirre-Sacasa 	3	['Carrie']	1	3.0
 Stephen  King 	2.125	 Frank  Darabont 	1.6666666666666667	 ['  The    Green    Mile  ',  '  The    Mist  '] 	2	2.0
 Stephen  King 	2.125	 Taylor  Hackford 	3.0	 ['  Dolores    Claiborne  '] 	1	3.0
 Stephen  King 	2.125	 William  Goldman 	0.5	['Dreamcatcher']	1	0.0
 Stephen  King 	2.125	 Lawrence  Kasdan 	0.5	['Dreamcatcher']	1	0.0
